Price,Levy,Manufacturer,Model,ProdYear,Category,LeatherInterior,FuelType,EngineVolume,Mileage,Cylinders,GearBoxType,DriveWheels,Doors,Wheel,Color,Airbags
7527,1486,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000,4,Automatic,Front,4,Right,Black,4
19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490,4,Automatic,Front,4,Left,Silver,4
314,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746,6,Automatic,4x4,4,Left,Silver,12
24462,751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200,4,Automatic,Front,4,Left,Blue,4
45734,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057,4,Automatic,Front,4,Left,Black,4
20165,650,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200,4,Tiptronic,Front,4,Left,Black,8
21326,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000,4,Tiptronic,Front,4,Left,White,12
549,1436,PORSCHE,Cayenne,2010,Jeep,Yes,Petrol,3.6,160259,6,Automatic,4x4,4,Left,Silver,12
220,1194,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,4,239342,6,Automatic,4x4,4,Left,Silver,12
15681,503,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000,4,Variator,Front,4,Left,Sky blue,8
55390,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,100734,4,Automatic,Front,4,Left,Black,4
12544,0,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500,4,Automatic,Front,4,Right,Black,8
17249,0,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000,4,Variator,4x4,4,Left,White,8
34889,891,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768,4,Automatic,Front,4,Left,Blue,4
862,1104,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014,6,Automatic,4x4,4,Left,Black,0
14583,0,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5 Turbo,132542,4,Manual,Front,4,Left,White,10
392,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,1600,4,Automatic,Rear,4,Left,Black,12
38500,639,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000,1,Tiptronic,4x4,4,Left,White,12
8781,0,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2,260000,4,Manual,Rear,2,Left,Blue,0
87112,0,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0 Turbo,5323,4,Tiptronic,4x4,4,Left,Grey,0
1411,629,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112,4,Automatic,4x4,4,Left,Black,0
392,919,BMW,535,2012,Sedan,Yes,Petrol,3,204318,6,Automatic,Rear,4,Left,Black,12
23521,781,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,22000,4,Automatic,Front,4,Left,Red,6
16935,530,FORD,Fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000,4,Tiptronic,Front,4,Left,Silver,8
10349,0,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000,4,Automatic,Front,4,Right,Black,6
7213,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118,4,Automatic,Front,4,Left,Black,0
5331,0,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000,4,Tiptronic,Front,4,Left,Black,6
20526,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279,4,Automatic,Front,4,Left,Grey,4
9722,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,719847,4,Automatic,Front,4,Left,Orange,4
34657,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672,4,Automatic,Front,4,Left,Silver,4
36564,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969,4,Automatic,Front,4,Left,Black,4
314,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510,4,Automatic,Front,4,Left,White,12
5488,0,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000,4,Manual,Front,4,Right,Sky blue,3
30063,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105,4,Automatic,Front,4,Left,Silver,4
15800,769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456,4,Automatic,Front,4,Left,Silver,4
43952,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643,4,Automatic,Front,4,Left,Grey,4
53154,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,84506,4,Automatic,Front,4,Left,Silver,4
14740,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000,4,Automatic,Front,4,Left,White,8
42337,0,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000,4,Tiptronic,Rear,2,Left,Silver,6
3763,1053,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362,6,Automatic,Rear,4,Left,White,12
18189,0,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000,4,Automatic,Front,4,Left,Silver,8
862,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190,8,Automatic,4x4,4,Left,White,0
220,1185,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614,4,Automatic,Front,4,Left,White,0
5645,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877,6,Automatic,4x4,4,Left,White,12
7527,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656,4,Automatic,Front,4,Left,White,12
21953,1187,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000,8,Automatic,4x4,4,Right,White,10
8154,0,HONDA,Cr-v,1998,Jeep,No,Petrol,2,0,4,Automatic,4x4,4,Right,White,2
21953,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053,4,Automatic,Front,4,Left,Black,0
19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362,4,Automatic,Front,4,Left,Black,4
36065,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191,4,Automatic,Front,4,Left,White,4
8781,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000,4,Tiptronic,Front,4,Right,Green,12
6247,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772,4,Automatic,Front,4,Left,Black,4
16289,642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000,4,Automatic,Front,4,Left,Grey,4
77775,1604,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811,8,Automatic,4x4,4,Left,Black,10
2822,0,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2,350000,6,Manual,Rear,4,Left,Blue,2
549,781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213,4,Automatic,4x4,4,Left,Blue,0
6981,1095,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246,4,Automatic,Front,4,Left,Black,4
27284,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394,4,Tiptronic,Front,4,Left,Black,12
32929,0,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0 Turbo,160000,4,Automatic,Rear,2,Left,Black,12
18817,0,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8 Turbo,333333,4,Manual,Rear,4,Left,Black,0
4234,0,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0,4,Manual,Front,2,Left,Blue,6
15053,0,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000,6,Tiptronic,Rear,4,Left,Grey,8
15458,966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346,4,Automatic,Front,4,Left,Black,4
2901,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827,4,Automatic,Front,4,Left,Green,12
706,1138,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464,6,Automatic,Rear,2,Left,Black,12
314,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,91760,4,Automatic,Front,4,Left,Black,12
15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240,8,Automatic,4x4,4,Left,Silver,0
26657,0,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2 Turbo,300000,4,Manual,Rear,4,Left,White,1
10663,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400,4,Automatic,Front,4,Left,Silver,6
12858,765,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200,4,Automatic,Front,4,Left,Sky blue,10
1019,917,BMW,X5,2013,Jeep,Yes,Diesel,3,137802,6,Automatic,4x4,4,Left,Black,12
549,917,BMW,535,2013,Sedan,Yes,Hybrid,3,151586,6,Automatic,Rear,4,Left,White,12
12858,0,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000,4,Manual,Front,4,Left,Silver,2
15000,0,BMW,328,2008,Sedan,Yes,CNG,3,210408,6,Tiptronic,Rear,4,Left,White,12
85553,1156,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567,4,Automatic,Front,4,Left,Black,4
44752,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000,4,Automatic,Front,4,Left,Grey,4
17158,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740,4,Automatic,Front,4,Left,White,4
12231,0,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000,4,Tiptronic,4x4,4,Right,White,16
11917,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5,150000,12,Tiptronic,Rear,4,Right,White,12
1254,0,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000,4,Manual,Rear,4,Left,Red,0
94,0,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,178000,4,Variator,Front,4,Right,Silver,4
25591,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704,4,Automatic,Front,4,Left,Silver,4
14897,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962,4,Automatic,Front,4,Left,White,4
23521,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000,4,Tiptronic,Front,4,Left,White,12
3450,0,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000,3,Manual,Front,2,Left,Green,0
706,777,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0,4,Automatic,Front,4,Left,Red,12
1019,1537,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358,6,Automatic,4x4,4,Left,Black,12
16935,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454,4,Automatic,Front,4,Left,Black,0
19444,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0,4,Tiptronic,Front,4,Left,Black,6
11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,346470,4,Automatic,Front,4,Left,Silver,4
51965,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,59515,4,Automatic,Front,4,Left,Blue,4
706,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312,4,Automatic,Front,4,Left,Grey,12
9408,0,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2 Turbo,111111,4,Manual,Rear,4,Left,Silver,4
13328,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444,4,Automatic,Front,4,Left,Yellow,4
17876,0,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000,4,Tiptronic,Front,4,Right,White,12
549,2866,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709,6,Automatic,Front,4,Left,Grey,12
20071,0,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000,4,Automatic,4x4,4,Left,Silver,8
22894,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444,4,Automatic,Front,4,Left,Yellow,4
2901,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403,4,Automatic,Front,4,Left,White,0
15681,0,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000,4,Automatic,4x4,2,Left,Blue,6
39829,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821,8,Automatic,4x4,4,Left,Black,0
706,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907,8,Automatic,4x4,4,Left,Black,0
18660,0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000,4,Tiptronic,Front,4,Left,Black,6
22580,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930,4,Automatic,Rear,4,Left,Black,12
11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872,4,Automatic,Front,4,Left,Silver,4
314,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893,4,Automatic,Front,4,Left,Brown,0
5488,751,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958,4,Automatic,Front,4,Left,Black,12
4300,0,MERCEDES-BENZ,208,1985,Universal,No,Diesel,2.5,1111111,4,Manual,Rear,4,Left,Black,1
18817,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058,4,Automatic,Front,4,Left,White,12
21169,697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330,4,Automatic,4x4,4,Left,Grey,8
9095,0,FIAT,500,2011,Coupe,No,Petrol,1.2,141000,4,Automatic,Front,2,Right,Red,4
1568,639,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2,82392,4,Automatic,Front,4,Left,Silver,12
3136,0,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0 Turbo,180000,6,Tiptronic,4x4,4,Right,Blue,6
17876,585,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920,4,Tiptronic,Front,4,Left,Grey,12
11290,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,279787,4,Automatic,Front,4,Left,Silver,4
36065,1399,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200,6,Tiptronic,Front,4,Left,White,16
862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478,4,Automatic,Front,4,Left,White,12
21395,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144,4,Automatic,Front,4,Left,Silver,4
15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,258706,4,Automatic,Front,4,Left,Silver,4
627,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419,4,Automatic,Front,4,Left,Red,0
40070,690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807,4,Automatic,Front,4,Left,Black,4
11917,0,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000,4,Automatic,Front,4,Left,Golden,8
72130,1079,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0 Turbo,18918,4,Tiptronic,Front,4,Left,Black,6
35927,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267,4,Automatic,Front,4,Left,Silver,4
21012,308,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000,4,Automatic,4x4,4,Left,White,4
21012,1823,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358,6,Automatic,Front,4,Left,Grey,12
13172,1361,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176,4,Automatic,Front,4,Left,White,6
15624,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,107005,4,Automatic,Front,4,Left,Grey,4
4547,0,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000,4,Manual,Front,4,Left,Beige,2
5488,1273,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154,6,Automatic,4x4,4,Left,Black,12
20005,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997,4,Automatic,Front,4,Left,White,4
36110,924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728,6,Tiptronic,Front,4,Left,Silver,8
7840,0,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,777777,6,Manual,Rear,4,Left,Blue,4
470,1077,MAZDA,1000,2019,Jeep,Yes,Petrol,2,11566,4,Automatic,4x4,4,Left,Black,12
1300,0,AUDI,50,2018,Coupe,Yes,Petrol,0.5,4000,1,Tiptronic,Rear,5,Right,Blue,0
43880,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113700,4,Automatic,Front,4,Left,Silver,4
29479,584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,69000,4,Tiptronic,Rear,4,Left,Grey,8
17249,0,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000,4,Variator,Front,4,Left,White,12
9408,0,TOYOTA,Vitz funkargo,2003,Universal,No,Petrol,1.5,181926,4,Automatic,4x4,4,Right,Silver,2
44213,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,50255,4,Automatic,Front,4,Left,Red,4
8467,2078,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800,6,Manual,Rear,4,Left,Grey,6
627,915,AUDI,A6,2014,Sedan,Yes,Petrol,3,164488,6,Automatic,4x4,4,Left,Silver,12
21950,831,FORD,Transit,2011,Goods wagon,No,Diesel,2.4 Turbo,125000,4,Manual,4x4,4,Left,White,2
706,475,FIAT,500,2012,Hatchback,Yes,Petrol,1.4,164574,4,Automatic,Front,4,Left,Red,12
3136,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992,4,Automatic,Front,4,Left,Black,12
3450,0,OPEL,Vectra,1995,Sedan,No,CNG,2,0,4,Manual,Front,4,Left,White,2
9408,0,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5 Turbo,11000,6,Tiptronic,4x4,4,Right,Silver,4
31500,0,NISSAN,Pathfinder,2010,Jeep,Yes,LPG,4,90200,6,Tiptronic,4x4,4,Left,Black,12
20385,0,MITSUBISHI,Delica,2005,Minivan,Yes,Petrol,3,184000,6,Automatic,4x4,4,Right,White,12
314,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486,6,Automatic,4x4,4,Left,Silver,12
2300,0,VOLKSWAGEN,Golf,1996,Sedan,No,CNG,2,0,4,Manual,Front,4,Left,Green,0
7840,0,MERCEDES-BENZ,Vaneo,2004,Universal,No,LPG,1.9,170000,4,Tiptronic,Front,4,Left,Silver,4
56450,0,TOYOTA,Camry Se,2018,Sedan,Yes,Petrol,2.5,25000,4,Tiptronic,Front,4,Left,Blue,12
1490,639,VOLKSWAGEN,Jetta,2014,Universal,Yes,Diesel,2,113214,4,Automatic,Front,4,Left,Grey,12
627,836,TOYOTA,Tacoma,2012,Sedan,Yes,Petrol,2.7,394069,4,Automatic,Rear,4,Left,Black,12
314,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486,6,Automatic,4x4,4,Left,Silver,12
13172,0,HONDA,Cr-v,2002,Jeep,No,Petrol,2.4,260000,4,Automatic,4x4,4,Left,Silver,6
19757,0,NISSAN,Patrol Y60,1990,Jeep,No,Diesel,2.8 Turbo,222222,4,Manual,Rear,4,Left,Black,0
4704,917,AUDI,A7,2013,Hatchback,Yes,Petrol,3,301707,6,Automatic,4x4,4,Left,Grey,0
706,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,175827,4,Automatic,Front,4,Left,Black,12
5802,1055,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Diesel,3.5,107800,6,Automatic,Rear,4,Left,Grey,12
25716,777,TOYOTA,Camry,2014,Sedan,No,Petrol,2.5,115200,4,Automatic,Front,4,Left,Silver,8
14426,642,CHEVROLET,Orlando,2012,Jeep,Yes,LPG,2,132036,4,Automatic,Front,4,Left,White,4
10820,0,TOYOTA,RAV 4,2001,Jeep,No,Petrol,2,91000,4,Automatic,4x4,2,Right,Silver,4
45436,1172,FORD,Explorer,2011,Jeep,Yes,Petrol,3.5,129177,4,Automatic,Front,4,Left,White,4
11917,893,HYUNDAI,I30,2008,Hatchback,No,Diesel,1.6,201000,4,Manual,Front,4,Left,Black,8
41281,765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,185811,4,Automatic,Front,4,Left,Black,4
4391,0,NISSAN,Altima,1998,Sedan,No,Petrol,2.4,358400,4,Manual,Front,4,Left,Brown,2
3058,1872,PORSCHE,Cayenne,2018,Sedan,Yes,Petrol,3.6,28968,6,Automatic,4x4,4,Left,White,12
3700,0,ALFA ROMEO,147,2001,Coupe,Yes,Petrol,1.8,240000,4,Manual,Front,2,Left,Black,4
15681,0,SUZUKI,Grand Vitara,2008,Jeep,No,Petrol,1.6,98000,4,Automatic,4x4,2,Left,Black,12
6586,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,122302,4,Automatic,Front,4,Left,Black,0
12544,0,TOYOTA,Prius,2007,Hatchback,No,Hybrid,1.5,140000,4,Automatic,Front,4,Left,Beige,6
30063,639,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2,120000,4,Automatic,Front,4,Left,White,4
72130,1885,PORSCHE,Panamera,2010,Hatchback,Yes,Petrol,4.8,196800,8,Tiptronic,4x4,4,Left,White,8
21639,0,HYUNDAI,Veloster,2015,Hatchback,No,Petrol,1.6,17200,4,Tiptronic,Front,2,Left,Red,10
36692,0,TOYOTA,RAV 4 XLE Sport,2013,Jeep,No,Petrol,2.5,120000,4,Tiptronic,Front,4,Left,White,0
30,0,HONDA,FIT,2002,Hatchback,No,Petrol,1.5,0,4,Automatic,Front,4,Right,Silver,4
12231,1266,TOYOTA,Aqua,2014,Hatchback,No,Hybrid,1.5,66000,4,Variator,Front,4,Right,Silver,4
3136,0,TOYOTA,Sienta,2004,Sedan,No,Petrol,1.5,300000,4,Variator,Front,4,Right,Beige,4
10663,0,TOYOTA,Prius,2009,Sedan,Yes,Hybrid,1.8,230000,4,Variator,Front,4,Left,Grey,6
5620,447,HONDA,FIT,2013,Hatchback,Yes,Petrol,1.3,110467,4,Automatic,Front,4,Left,White,4
19130,2148,MERCEDES-BENZ,CLS 550,2010,Sedan,Yes,Petrol,5.5,157000,4,Automatic,Front,4,Left,Grey,10
9408,1111,HONDA,FIT,2012,Hatchback,No,Hybrid,1.3,64000,4,Variator,Front,4,Right,Black,4
3,0,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.8,80000,4,Tiptronic,Front,4,Left,Grey,6
15367,640,VOLKSWAGEN,Passat,2013,Sedan,Yes,Diesel,2.0 Turbo,179200,4,Tiptronic,Front,4,Left,White,16
5959,1730,CHEVROLET,Avalanche,2011,Sedan,Yes,Petrol,5.3,246976,8,Automatic,Front,4,Left,Black,12
